K,D_over_A,nu,pooled,nu_tot,reps,rho,kappa,eps,eta,err_kap_rate,err_s_rate,rse_kappa,rse_s,ci_kappa_cover,ci_union_cover,ci_gw_cover,cov_oracle,cov_plug,cov_safe,width_safe_over_oracle,width_plug_over_oracle,width_safe_over_anchor,width_oracle_over_anchor,cert_fixed_K,false_fixed_K,falses_fixed_K,cert_plug_frozen,false_plug_frozen,falses_plug_frozen,cert_plug_matched,false_plug_matched,falses_plug_matched,cert_ci_union,false_ci_union,falses_ci_union,cert_ci_gw,false_ci_gw,falses_ci_gw,cert_ci_kappa,false_ci_kappa,falses_ci_kappa,false_ci_kappa_star
300,1.0,4.0,False,4.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.7866,0.78675,0.3984674378915024,0.40264534199714447,0.94845,0.97885,0.94655,0.95125,0.83485,0.98405,1.2766191000893274,0.9429722713837382,0.9027060226654314,0.7071067811865476,1.0,0.7866,0.78675,0.5276,0.46655,0.45925,0.67615,0.46655,0.4741,0.00045,0.00045,0.00045,0.00275,0.00275,0.00275,0.0128,0.0128,0.0128,0.0128
300,1.0,12.0,False,12.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.62965,0.6459,0.2566231253160996,0.26438426552739175,0.95085,0.9884,0.9496,0.9505,0.9,0.9795,1.2182814469122398,0.9649619889872035,0.861455072505404,0.7071067811865476,1.0,0.62965,0.6459,0.4398,0.3372,0.33725,0.7017,0.3372,0.36325,0.0,0.0,0.0,0.0005,0.0005,0.0005,0.0072,0.0072,0.0072,0.0072
300,1.0,40.0,False,40.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.39405,0.4637,0.1296390387288334,0.14646207469530076,0.95055,0.9945,0.9522,0.95145,0.94055,0.975,1.1577429921122593,0.9884783991967039,0.8186479205937823,0.7071067811865476,1.0,0.39405,0.4637,0.3284,0.1852,0.21555,0.783,0.1852,0.26325,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.009,0.00895,0.009
300,4.0,4.0,False,4.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.9464,0.94615,0.7859282004794876,0.7906259214423138,0.94945,0.97275,0.94935,0.9491,0.6798,0.98725,1.8632109881071788,1.0596001629215872,0.8332532851664408,0.44721359549995787,1.0,0.9464,0.94615,0.3086,0.3086,0.3086,0.43855,0.43855,0.43855,0.0003,0.0003,0.0003,0.0011,0.0011,0.0011,0.0051,0.0051,0.0051,0.0051
300,4.0,12.0,False,12.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.9047,0.9057,0.6516527017909364,0.6586492069301396,0.94925,0.9806,0.9491,0.9477,0.6998,0.99045,1.7012823789405098,0.938934376912854,0.7608366096467071,0.44721359549995787,1.0,0.9047,0.9057,0.1231,0.1231,0.1231,0.2909,0.2909,0.2909,0.0,0.0,0.0,5e-05,5e-05,5e-05,0.0008,0.0008,0.0008,0.0008
300,4.0,40.0,False,40.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.8371,0.8415,0.4987742316721349,0.5092511781323903,0.9484,0.99045,0.94925,0.9497,0.77265,0.9905,1.5286763645739587,0.9119846736371222,0.6836448533569245,0.44721359549995787,1.0,0.8371,0.8415,0.0131,0.0131,0.0131,0.12515,0.12515,0.12515,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,5e-05,5e-05,5e-05
30,0.25,4.0,True,120.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.0409,0.5492,0.04406752092741702,0.16635834897120444,0.9508,0.9666,0.94695,0.9647,0.959,0.97125,1.0520860718724308,0.9894466693161714,0.9410143899549935,0.8944271909999159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73285,0.0,0.3094,0.0
30,0.25,12.0,True,360.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.0324,0.5473,0.04110911916546366,0.16581704399461572,0.95075,0.96345,0.9502,0.96455,0.9588,0.9706,1.050391555974388,0.9899778635507559,0.9394987688602028,0.8944271909999159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81425,0.0,0.3619,0.0
30,0.25,40.0,True,1200.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.02985,0.54365,0.0396003434304358,0.1646068594991849,0.94865,0.9567,0.949,0.96645,0.96175,0.9719,1.0498746090112445,0.9904179141509352,0.9390363974400623,0.8944271909999159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8457,0.0,0.38935,0.0
30,1.0,4.0,True,120.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.4871,0.70815,0.2121820319099193,0.298691142515743,0.94805,0.98095,0.9477,0.9658,0.918,0.98115,1.1938178229567133,0.9416048622406208,0.8441566781140531,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0045,0.0045,0.0045
