K,Dbar_over_A,slog,two_point,reps,cv_D,kappa,nu_den,nu_num,nu_den_over_K1,K_I,K_I_eff,K_raw,rse_bound,rse_unweighted,rse_w_oracle,rse_w_feasible,eff_unweighted,eff_w_oracle,eff_w_feasible,nominal,cov_oracle_a,cov_oracle_b,cov_safe_a,cov_safe_b,cov_enlarge,cov_model_valid,cov_model_plug,contain_b_over_a,contain_a_over_a,w_oracle_a,w_oracle_b,w_safe_a,w_safe_b,w_enlarge,w_model_valid,w_model_plug,enl_share
100,1.0,1.0,False,20000,1.0977437181379448,0.7071067811865476,76.25842084178124,453.50625100881314,0.7702870792099116,37.52272683466433,37.07706796474664,100.0,0.23225352079640973,0.3325773593347311,0.2327518591345429,0.2581562307904527,0.6983443529078363,0.997858928646215,0.899662658093779,0.9504950495049505,0.9477,0.9494,0.96775,0.96745,0.9999,0.98455,0.8797,0.8824,0.95835,1.991995082321101,2.0158386434979643,2.2359193972371374,2.2687108858684466,4.552878893819181,2.549979850553171,1.6226517532519344,0.7000000000000001
100,1.0,1.5,False,20000,1.8549369705983996,0.7071067811865476,53.469901593357,225.1850994267925,0.5401000160945152,55.054940303572145,54.799370346452996,100.0,0.1910412775132061,0.3972879382652848,0.18983728786672277,0.20541434999888017,0.48086352268172894,1.0063422189603162,0.9300288782855121,0.9504950495049505,0.95015,0.9519,0.96895,0.97295,0.99865,0.99045,0.8722,0.86905,0.9749,1.992007231629594,2.0354475445234663,2.223021065604924,2.3434137552664933,4.209860780847947,2.6975211520427447,1.6085969118606114,0.8
100,4.0,0.0,False,20000,0.0,0.4472135954999579,99.0,1000.0000000000002,1.0,4.000000000000002,3.7593984962406015,100.0,0.7293833011524188,0.7314721342119817,0.7264917110835365,1.392939947030939,0.9971443436299686,1.0039802106820594,0.52362867667562,0.9504950495049505,0.94985,0.94985,0.9861,0.98135,1.0,0.9901,0.7832,0.9641,0.9743,1.9875398999814384,1.9875398999814384,2.858507424891969,2.747569000485998,8.363851967297453,3.079670527512075,1.514882695188647,0.6
100,4.0,0.5,False,20000,0.5583349986979471,0.44721359549995787,82.67243917100922,762.3473759871433,0.8350751431415072,6.237359663037247,5.941056327111491,100.0,0.5802072655240984,0.8024576883079851,0.5809655974112052,1.056721148180241,0.7230378298792166,0.9986947043155636,0.549063739779659,0.9504950495049505,0.9482,0.9509,0.9893,0.986,1.0,0.99355,0.76335,0.96555,0.9802,1.990480919169495,2.026258374637865,2.883419864059426,2.870608226055534,8.2874127900267,3.1992847659265653,1.4979124551224288,0.6
100,4.0,1.0,False,20000,0.8294429683089607,0.4472135954999579,68.94837554459419,592.4256118862583,0.6964482378241836,11.075006927301127,10.746920409347027,100.0,0.43139288856570773,0.8884160820414512,0.4327175770948467,0.7586113005705188,0.4855752808688802,0.9969386764040588,0.5686613002485934,0.9504950495049505,0.9524,0.95855,0.98865,0.9872,1.0,0.99325,0.74775,0.9678,0.9836,1.9944705131290146,2.0808078800139627,2.9007118708561888,3.022439918739435,8.167756474004289,3.3284859020940973,1.483394038593469,0.7000000000000001
100,4.0,1.5,False,20000,1.4304686662765014,0.44721359549995787,43.11159898778246,328.27347856021237,0.4354706968462875,18.05057061652336,17.687451901532558,100.0,0.3362655385791766,1.125955622279972,0.33671819431205274,0.5624935738692756,0.2986490159339186,0.9986556837720013,0.5978122314643994,0.9504950495049505,0.951,0.95615,0.9904,0.9909,1.0,0.997,0.7012,0.97645,0.9925,1.9950593227677138,2.094026786634552,2.952763950727712,3.2374880350743203,7.768725474196974,3.716670560243036,1.447989265920982,0.7000000000000001
300,1.0,0.0,False,20000,0.0,0.7071067811865476,299.0,3000.0000000000005,1.0,75.0,73.17073170731707,300.0,0.16532795690182994,0.16554918989189815,0.1650908622629043,0.2379778105853031,0.9986636419651906,1.0014361463479917,0.6947200518199917,0.9501661129568106,0.952,0.952,0.9673,0.96265,0.99995,0.9747,0.89485,0.95755,0.9623,1.969963312841187,1.969963312841187,2.141252102679081,2.10008877335774,4.724872908080069,2.240471371597857,1.6402876278668963,0.6
300,1.0,0.5,False,20000,0.5597745141865158,0.7071067811865476,277.34622652365294,2284.2393080435972,0.9275793529219162,87.7713540888181,86.12581618234705,300.0,0.152387141488611,0.1714551834472324,0.1518420963102876,0.20590411935628963,0.8887870195858508,1.0035895525125627,0.7400878717968986,0.9501661129568106,0.95045,0.952,0.96505,0.9634,1.0,0.9741,0.89655,0.90285,0.9595,1.9693885514033442,1.9775207562360884,2.1354817210747643,2.1130652476465,4.668170661987181,2.25022721458552,1.6367557869837646,0.6
300,1.0,1.0,False,20000,1.0955312102563783,0.7071067811865476,230.1693238931078,1363.5194525991133,0.7697970698766147,117.07758449854506,115.80754540367762,300.0,0.1314154932677063,0.19114526685088645,0.13198629879012747,0.16319328942757583,0.687516334737309,0.9956752668447139,0.8052751049302654,0.9501661129568106,0.95205,0.9563,0.96655,0.9669,0.9998,0.9771,0.89555,0.8913,0.964,1.9695511184757826,1.9923223401528776,2.130962538023023,2.14612508628676,4.519475230927437,2.2869933879520694,1.6368028870261118,0.7000000000000001
300,1.0,1.5,False,20000,2.1109632878664413,0.7071067811865476,141.68496819714406,549.836643259113,0.4738627698901139,157.35096554926466,156.4521209631647,300.0,0.1130639803018778,0.2463172724820127,0.11310876173299354,0.12720988098685196,0.4590176692141404,0.9996040852147117,0.8887987271489056,0.9501661129568106,0.9514,0.94875,0.96445,0.9654,0.9989,0.98095,0.89135,0.8628,0.979,1.970837656096387,1.960463684502025,2.127103672494205,2.157836988943314,4.158675933612314,2.3973061270387066,1.6349355192616175,0.7000000000000001
