experiment,structure,K,rho,d,method,claims_target,basis,reps,seed,latent_hits,latent_coverage,latent_mcse,observed_coverage,mean_radius
exp01,noise_more_correlated,100,0.4,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,11570712264005248585,3606,0.9015,0.0047116279,0.8345,2.49297444
exp01,noise_more_correlated,100,0.4,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,11570712264005248585,3602,0.9005,0.00473285722,0.8385,2.49966893
exp01,noise_more_correlated,100,0.52,8,observed_anchor,T1,exchangeability of observed curves,4000,16888149630710458716,3862,0.9655,0.00288572998,0.907,2.90277253
exp01,noise_more_correlated,100,0.52,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,16888149630710458716,4000,1,0,0.99975,4.87688882
exp01,noise_more_correlated,100,0.52,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,16888149630710458716,3585,0.89625,0.00482146081,0.77675,2.47945035
exp01,noise_more_correlated,100,0.52,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,16888149630710458716,3591,0.89775,0.00479048373,0.77775,2.49811942
exp01,noise_more_correlated,100,0.8,8,observed_anchor,T1,exchangeability of observed curves,4000,7899413267386102807,3996,0.999,0.000499749937,0.89175,3.99055662
exp01,noise_more_correlated,100,0.8,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,7899413267386102807,4000,1,0,1,8.11574239
exp01,noise_more_correlated,100,0.8,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,7899413267386102807,3474,0.8685,0.0053434013,0.40375,2.39433397
exp01,noise_more_correlated,100,0.8,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,7899413267386102807,3603,0.90075,0.00472756379,0.45275,2.49702327
exp01,noise_more_correlated,250,0.29,8,observed_anchor,T1,exchangeability of observed curves,4000,8512570789060705611,3713,0.92825,0.00408050051,0.89425,2.59766879
exp01,noise_more_correlated,250,0.29,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,8512570789060705611,3995,0.99875,0.0005586675,0.997,3.70812183
exp01,noise_more_correlated,250,0.29,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,8512570789060705611,3600,0.9,0.00474341649,0.8655,2.48603825
