item,essround,min_n,K,m,nominal_rank,n_countries,zero_Dhat,nu_med,nu_q10,nu_q90,Fc_med,gamma_hat,gamma_lo,gamma_hi,t_lo,fallback,struct_R2_on_Dhat,struct_slope,skew_dev,kurt_dev,rho2_hat,w_certified,w_gaussian,w_sep_bonf,w_uncorrected,cert_over_unc,cert_over_sep,cert_over_gauss
trstprl,11,40,230,220,0.9523809523809523,24,0,44.5,14.0,190.2,0.45779387573637054,0.5178874770251816,0.4020845043843244,0.6336904496660387,0.3082504288949615,0,0.46705035316432864,-0.5178874770251816,0.017404865257393064,0.7735118338662423,0.3817658687464262,0.1595035040475312,0.18357575316438002,0.165506574213624,0.18384499576965319,0.8675977465678727,0.9637291135133733,0.8688702146013058
trstprl,11,60,189,181,0.9526315789473684,24,0,52.0,16.8,218.80000000000032,0.45779387573637054,0.5197817582314349,0.40523053247719565,0.6343329839856742,0.2797075421389985,0,0.46085780738654536,-0.5197817582314349,0.20631640785208574,0.4063882644698227,0.34627845559578385,0.15711307005171776,0.1812169875421671,0.15836686496055577,0.17148835141883212,0.9161734237446537,0.9920829719704921,0.8669886426357206
trstprl,11,80,159,152,0.95,24,0,63.0,20.0,245.60000000000014,0.45779387573637054,0.5813625987125313,0.48947490168210794,0.6732502957429546,0.3058999105429502,0,0.5543237428741112,-0.5813625987125313,0.29221278569114345,0.49649430854306287,0.345711124412266,0.14711277495624653,0.17076798621059416,0.15249354839606935,0.16631520034260988,0.8845419700255521,0.9647147469750824,0.8614774831087157
trstprl,11,100,136,131,0.9562043795620438,24,0,71.5,30.0,263.0,0.45167711311295167,0.6044634224310083,0.5237912976612764,0.6851355472007401,0.30200607910495353,0,0.564558997131269,-0.6044634224310083,0.5333195355450207,0.2545543046025167,0.34344445583459376,0.14538584596532755,0.16585745828147297,0.14045397592944728,0.16631520034260988,0.8741584994386095,1.035113780177769,0.8765710476437936
trstprl,11,150,94,91,0.9578947368421052,23,0,79.5,38.0,278.7,0.45167711311295167,0.618550262481538,0.5607312677105828,0.6763692572524932,0.22978259623438915,0,0.6179927777179598,-0.618550262481538,0.6203975876328788,0.4907259601277665,0.27354862749474274,0.158511215266981,0.17591427901920892,0.16085792643815705,0.16631520034260988,0.9530771387128018,0.9854112804812373,0.9010707723713116
stflife,9,40,277,265,0.9532374100719424,29,3,30.0,8.0,210.60000000000002,0.10263297562342502,0.6413226804238895,0.5426417598032544,0.7400036010445247,0.3257817223808984,0,0.04212777366866627,-0.6413226804238895,0.24597395452837878,4.550794253703822,0.4522093951894036,0.10785126282938146,0.12174931500741333,0.10625979694450956,0.13033208992493245,0.8275111900031734,1.014977121457356,0.8858469784640216
stflife,9,60,230,220,0.9523809523809523,29,1,38.5,11.900000000000002,231.0,0.08779626569401179,0.561472835314488,0.45845088068697876,0.6644947899419973,0.3261604912463987,0,0.05983804254914693,-0.561472835314488,0.9246012232218858,6.806288686006232,0.4463031341967371,0.09596033179147694,0.10639277396789114,0.0924989192926118,0.1123143324557013,0.8543907949533096,1.03742111286636,0.9019440720705086
stflife,9,80,198,190,0.9547738693467337,29,0,46.5,15.0,244.3,0.08646621349455808,0.5678004823327705,0.4865353206640348,0.6490656440015061,0.29852063844937116,0,0.1739800849632155,-0.5678004823327705,0.8373015109556626,7.691769639728365,0.3972639522984012,0.09736503833937368,0.10672405912557817,0.09275139015124487,0.1123143324557013,0.8668977165294209,1.0497420920657423,0.9123063640674304
stflife,9,100,171,164,0.9534883720930233,29,0,54.0,15.0,267.0,0.08513616129510437,0.46674622756699596,0.3843832078256243,0.5491092473083676,0.3691629519884962,0,0.12713331880296186,-0.46674622756699596,0.6775207628786801,3.4944347475583104,0.4501125567361661,0.08193078369116606,0.08501034116520004,0.0759399027301672,0.09396887529554579,0.8718927776189916,1.0788897634262966,0.963774319314288
stflife,9,150,117,113,0.9576271186440678,29,0,79.0,13.600000000000001,338.8,0.08407200060277453,0.3309836755938064,0.23429734804092242,0.42767000314669046,0.28438287457244726,0,0.06385806816829254,-0.3309836755938064,1.047909836914786,5.135931438467798,0.3955283240956337,0.06506072824124068,0.08092065768456284,0.06223729689120779,0.07447059793134561,0.8736431564739162,1.0453655844817347,0.8040064194096664
